steam_appid,name,developers,publishers,categories,genres,required_age,n_achievements,platforms,total_reviews,total_positive,total_negative,review_score,review_score_desc,positive_percentual,metacritic,is_free,price_initial (USD),current_player_count,release_date
334230,Town of Salem,['BlankMediaGames'],['Digital Bandidos'],"['Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'In-App Purchases', 'Steam Cloud', 'Family Sharing']","['Action', 'Casual', 'RPG', 'Strategy']",0,361,"['windows', 'mac']",24395,21544,2851,8.0,Very Positive,88.3,0,False,4.99,112,"15 Dec, 2014"
333640,Caves of Qud,['Freehold Games'],['Kitfox Games'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards', 'Includes level editor', 'Family Sharing']","['Adventure', 'Indie', 'RPG', 'Strategy']",94,150,"['windows', 'mac', 'linux']",8181,7790,391,9.0,Overwhelmingly Positive,95.2,94,False,29.99,282,"5 Dec, 2024"
332800,Five Nights at Freddy's 2,['Scott Cawthon'],['Scott Cawthon'],"['Single-player', 'Family Sharing']",['Indie'],62,0,['windows'],12425,11597,828,8.0,Very Positive,93.3,62,False,7.99,70,"10 Nov, 2014"
332570,Amazing Frog?,['Fayju'],['Fayju'],"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Full controller support', 'Steam Cloud', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']","['Action', 'Adventure', 'Indie', 'Early Access']",0,0,"['windows', 'mac', 'linux']",6991,6574,417,8.0,Very Positive,94.0,0,False,19.99,62,"21 Nov, 2014"
330020,Children of Morta,['Dead Mage'],['11 bit studios'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']","['Action', 'Adventure', 'Indie', 'RPG']",82,45,"['windows', 'mac', 'linux']",6664,5942,722,8.0,Very Positive,89.2,82,False,21.99,140,"3 Sep, 2019"
322170,Geometry Dash,['RobTop Games'],['RobTop Games'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Includes level editor', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']","['Action', 'Indie']",0,120,"['windows', 'mac']",170867,160002,10865,8.0,Very Positive,93.6,0,False,4.99,19471,"22 Dec, 2014"
313120,Stranded Deep,['Beam Team Games'],['Beam Team Publishing'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Workshop', 'Stats', 'Steam Leaderboards', 'Includes level editor', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']","['Adventure', 'Indie']",0,37,"['windows', 'mac', 'linux']",22554,16797,5757,6.0,Mostly Positive,74.5,0,False,19.99,199,"10 Aug, 2022"
312530,Duck Game,['Landon Podbielski'],['CORPTRON GAMES CORP.'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']","['Action', 'Indie']",82,18,['windows'],10808,10519,289,9.0,Overwhelmingly Positive,97.3,82,False,12.99,219,"4 Jun, 2015"
311340,METAL GEAR SOLID V: GROUND ZEROES,['KONAMI'],['KONAMI'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards', 'Family Sharing']","['Action', 'Adventure']",80,16,['windows'],7198,5992,1206,8.0,Very Positive,83.2,80,False,19.99,77,"18 Dec, 2014"
307690,Sleeping Dogs: Definitive Edition,"['United Front Games', 'Feral Interactive (Mac)']","['Square Enix', 'Feral Interactive (Mac)']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Leaderboards', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","['Action', 'Adventure', 'Racing']",0,59,"['windows', 'mac']",24269,23136,1133,9.0,Overwhelmingly Positive,95.3,0,False,19.99,870,"8 Oct, 2014"
